"統計年月","縣市","行政區域","售電量度數"
"201601","台北市","中山區中吉里",1882868
"201601","台北市","中山區中山里",2581476
"201601","台北市","中山區中央里",1173415
"201601","台北市","中山區中原里",1522789
"201601","台北市","中山區中庄里",1647921
"201601","台北市","中山區朱馥里",1505117
"201601","台北市","中山區朱崙里",915872
"201601","台北市","中山區朱園里",2057379
"201601","台北市","中正區愛國里",613672
"201601","台北市","中正區板溪里",954357
"201601","台北市","中正區頂東里",1507196
"201601","台北市","中正區東門里",814943
"201601","台北市","中正區富水里",409221
"201601","台北市","中正區光復里",1810446
"201601","台北市","中正區河堤里",1160892
"201601","台北市","中正區建國里",342195
"201601","台北市","中正區黎明里",2095819
"201601","台北市","中正區林興里",1019620
"201601","台北市","中正區龍福里",997757
"201601","台北市","中正區龍光里",566381
"201601","台北市","中正區龍興里",494990
"201601","台北市","中正區梅花里",1497295
"201601","台北市","中正區南福里",2088078
"201601","台北市","中正區南門里",566855
"201601","台北市","中正區三愛里",2297006
"201601","台北市","中正區廈安里",618938
"201601","台北市","中正區水源里",957018
"201601","台北市","中正區網溪里",1194176
"201601","台北市","中正區文北里",1916570
"201601","台北市","中正區文盛里",710892
"201601","台北市","中正區文祥里",1489552
"201601","台北市","中正區新營里",1712311
"201601","台北市","中正區幸福里",1562561
"201601","台北市","中正區幸市里",1898514
"201601","台北市","中正區螢圃里",1232606
"201601","台北市","中正區螢雪里",940758
"201601","台北市","中正區永昌里",944909
"201601","台北市","中正區永功里",1090983
"201601","台北市","中正區忠勤里",1125956
"201603","台北市","北投區八仙里",1186230
"201603","台北市","北投區大同里",1319349
"201603","台北市","北投區大屯里",394314
"201603","台北市","北投區稻香里",1122210
"201603","台北市","北投區東華里",859839
"201603","台北市","北投區豐年里",728371
"201603","台北市","北投區福興里",1399218
"201603","台北市","北投區關渡里",2518390
"201603","台北市","北投區湖山里",623117
"201603","台北市","北投區湖田里",220095
"201603","台北市","北投區吉利里",1013105
"201603","台北市","北投區吉慶里",865576
"201603","台北市","北投區建民里",947862
"201603","台北市","北投區開明里",1458942
"201603","台北市","北投區立農里",1616562
"201603","台北市","北投區立賢里",976321
"201603","台北市","北投區林泉里",809482
"201603","台北市","北投區奇岩里",2343778
"201603","台北市","北投區清江里",1567308
"201603","台北市","北投區泉源里",700389
"201603","台北市","北投區榮光里",1301937
"201603","台北市","北投區榮華里",1999623
"201603","台北市","北投區石牌里",1483368
"201603","台北市","北投區桃源里",1138016
"201603","台北市","北投區溫泉里",1401799
"201603","台北市","北投區文化里",751554
"201603","台北市","北投區文林里",1108733
"201603","台北市","北投區秀山里",687214
"201603","台北市","北投區一德里",1705634
"201603","台北市","北投區永和里",2584655
"201603","台北市","北投區永明里",911014
"201603","台北市","北投區永欣里",1711409
"201603","台北市","北投區裕民里",1813135
"201603","台北市","北投區長安里",1247596
"201603","台北市","北投區振華里",1496510
"201603","台北市","北投區智仁里",907787
"201603","台北市","北投區中和里",1348908
"201603","台北市","北投區中心里",1479196
"201603","台北市","北投區中央里",2460199
"201603","台北市","北投區中庸里",608253
"201603","台北市","北投區洲美里",220043
"201603","台北市","北投區尊賢里",732332
"201603","台北市","大安區昌隆里",948590
"201603","台北市","大安區車層里",2090542
"201603","台北市","大安區誠安里",1262419
"201603","台北市","大安區大學里",2008825
"201603","台北市","大安區德安里",1657101
"201603","台北市","大安區敦安里",2016417
"201603","台北市","大安區敦煌里",1866299
"201603","台北市","大安區法治里",1261166
"201603","台北市","大安區芳和里",1203613
"201603","台北市","大安區福住里",1497173
"201603","台北市","大安區古風里",1165084
"201603","台北市","大安區古莊里",1993134
"201603","台北市","大安區光明里",933107
"201603","台北市","大安區光武里",2593995
"201603","台北市","大安區光信里",2312039
"201603","台北市","大安區和安里",1696402
"201603","台北市","大安區虎嘯里",1282695
"201603","台北市","大安區華聲里",1245845
"201603","台北市","大安區建安里",1934774
"201603","台北市","大安區建倫里",2426203
"201603","台北市","大安區錦安里",1585357
"201603","台北市","大安區錦華里",1215657
"201603","台北市","大安區錦泰里",643315
"201603","台北市","大安區黎和里",985003
"201603","台北市","大安區黎孝里",1597627
"201603","台北市","大安區黎元里",1033560
"201603","台北市","大安區臨江里",1152290
"201603","台北市","大安區龍安里",1622764
"201603","台北市","大安區龍門里",1173518
"201603","台北市","大安區龍坡里",752562
"201603","台北市","大安區龍泉里",1222728
"201603","台北市","大安區龍生里",1497364
"201603","台北市","大安區龍圖里",1903171
"201603","台北市","大安區龍淵里",1802493
"201603","台北市","大安區龍雲里",1378217
"201603","台北市","大安區龍陣里",1028630
"201603","台北市","大安區民輝里",2684544
"201603","台北市","大安區民炤里",2667936
"201603","台北市","大安區全安里",1482436
"201603","台北市","大安區群賢里",1730669
"201603","台北市","大安區群英里",1253053
"201603","台北市","大安區仁愛里",2299290
"201603","台北市","大安區仁慈里",1382005
"201603","台北市","大安區通安里",1495642
"201603","台北市","大安區通化里",1866109
"201603","台北市","大安區臥龍里",585265
"201603","台北市","大安區新龍里",1374176
"201603","台北市","大安區學府里",491584
"201603","台北市","大安區義安里",1910255
