"行政區域","平均綜合所得","非營業用電_里變異","X2戶一宅比例...","綜合所得總額","平均數","中位數","第三分位數","總計.","博士比例","碩士比例","大學比例","大學以下比例","X2人一宅宅數比例...","X3人一宅宅數比例...","X1戶一宅比例...","X4戶一宅比例...","X5戶一宅比例...","X6戶以上一宅比例...","每戶平均老年人口數.人.","無老年人口戶數比例...","二位老年人口戶數比例...","三位以上老年人口戶數比例...","二名老年人口宅數比例...","喪偶比例...","平均教育程度","扶養比","成年人平均綜合所得","碩士以下","博士以下","碩博比例","老年比例","戶均用電","零售排名","商家比例","公園數量比例","公園佔地比例","分群","離群"
"大安區古風里",534.740925589837,153.75444372062,0.178,2357138,1525,842,1743,3766,0.0374,0.1747,0.4052,0.3826,0.196,0.16,0.776,0.008,0.001,0,0.4,0.696,0.08,0.004,0.256,0.098,3.0056,0.427461139896373,763.32189119171,0.7878,0.9625,0.2121,0.387351778656126,865.289102202146,2712,0.0542066629023151,0.000564652738565782,0.00218631260444647,4,0
"大安區古莊里",481.463068181818,263.414152411553,0.155,3558975,1381,842,1672,6301,0.034,0.1782,0.4085,0.3793,0.193,0.164,0.811,0.008,0.003,0,0.39,0.698,0.068,0.007,0.221,0.085,3.0092,0.457413249211356,701.690654574133,0.7878,0.966,0.2122,0.373921698739217,1275.55839416058,1249,0.14664897146649,0.0006635700066357,0.0325905586774672,4,0
"大安區光明里",664.373868046572,192.572118523468,0.174,2567805,2091,1040,2086,2999,0.0277,0.1807,0.3948,0.3968,0.171,0.17,0.739,0.015,0.011,0.001,0.32,0.748,0.06,0.005,0.263,0.065,2.9127,0.52465483234714,1012.94082840237,0.7916,0.9723,0.2084,0.313655761024182,1050.4466571835,504,0.0497866287339972,0,0,4,0
"大安區光武里",522.292985723153,264.644731593317,0.156,4207070,1464,776,1534,6764,0.0167,0.1415,0.4098,0.432,0.188,0.165,0.808,0.005,0.002,0,0.43,0.663,0.076,0.008,0.22,0.093,2.6385,0.465344733490995,765.33927596871,0.8418,0.9833,0.1582,0.424031476997579,1221.97457627119,483,0.342615012106538,0.000302663438256659,0.00707643885750903,3,0
"大安區光信里",547.606923909124,204.381599059714,0.167,4555542,1636,808,1628,6928,0.0209,0.1419,0.4157,0.4215,0.186,0.193,0.795,0.008,0.002,0,0.42,0.681,0.085,0.007,0.237,0.091,2.7023,0.464612676056338,802.032042253521,0.8372,0.9791,0.1628,0.402882410743531,1162.71863740583,657,0.163773337700622,0.000327546675401245,0.00880438204438589,4,0
"大安區和安里",1138.29585561497,206.860685613171,0.183,8514453,3539,962,1944,5999,0.023,0.1752,0.4117,0.3901,0.176,0.204,0.767,0.007,0.002,0.001,0.41,0.687,0.083,0.006,0.307,0.092,2.905,0.515704154002026,1725.31975683891,0.8018,0.977,0.1982,0.399047996826656,1139.16739389131,35,0,0.000793335977786593,0.0133105422732752,4,0
"大安區虎嘯里",581.155877783532,199.566058292004,0.137,2244424,1587,809,1604,3424,0.0237,0.163,0.429,0.3843,0.193,0.167,0.83,0.004,0.003,0.001,0.39,0.698,0.067,0.009,0.193,0.092,2.9073,0.402323892519971,814.968772694263,0.8133,0.9763,0.1867,0.380023640661939,1129.54432624113,1117,0.536643026004728,0.000591016548463357,0.0139024643438749,4,0
"大安區華聲里",555.336345602821,242.358789424487,0.173,2519561,1601,791,1605,3833,0.0188,0.1521,0.4039,0.4253,0.188,0.165,0.791,0.003,0.001,0.001,0.43,0.676,0.074,0.012,0.23,0.09,2.6974,0.470664505672609,816.713452188006,0.8292,0.9813,0.1709,0.415852958070075,1307.18150488225,156,0.253302699597932,0.000574382538770821,0.0173040242356951,4,0
"大安區建安里",614.075277034773,319.225464026688,0.145,3214070,1606,811,1682,4458,0.0202,0.1485,0.4264,0.4049,0.183,0.174,0.82,0.006,0.001,0,0.44,0.662,0.078,0.008,0.188,0.091,2.7784,0.476029328821207,906.393119007332,0.8313,0.9798,0.1687,0.420074349442379,1447.97630111524,146,0.000929368029739777,0,0,4,1
"大安區建倫里",821.426122572816,315.798615849834,0.165,5414841,2290,878,1989,5573,0.0212,0.1455,0.4333,0.4,0.188,0.159,0.797,0.006,0.001,0,0.5,0.634,0.105,0.014,0.282,0.098,2.797,0.524866990515846,1252.56557945871,0.8333,0.9788,0.1667,0.491155902920609,1509.81653640477,87,0,0,0,4,1
